,0,1,2,3
10,"['ensg00000058262', 'ensg00000134250', 'ensg00000105971', 'ensg00000143384', 'ensg00000164305', 'ensg00000071127', 'ensg00000164442', 'ensg00000049323', 'ensg00000061938', 'ensg00000075624']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.005779, 0.005779, 0.005779, 0.005779, 0.005779, 0.005779, 0.005779, 0.005779]","[0, 0.06191, 0.1095, 0.1124, 0.1202, 0.206, 0.2383, 0.2599, 0.2839, 0.3167, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345]","[0, 0.01328, 0.04895, 0.06686, 0.08564, 0.1816, 0.2434, 0.3119, 0.3524, 0.3894, 0.5168, 0.5168, 0.5168, 0.5168, 0.5168, 0.5168, 0.5168, 0.5168]"
11,"['ensg00000113648', 'ensg00000114850', 'ensg00000128595', 'ensg00000142669', 'ensg00000137267', 'ensg00000069275', 'ensg00000106366', 'ensg00000155366', 'ensg00000151414', 'ensg00000071127']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05491, 0.05491, 0.05491, 0.05491, 0.05491, 0.05491, 0.05491, 0.05491]","[0, 0.02584, 0.03282, 0.224, 0.2292, 0.2316, 0.2446, 0.2664, 0.2907, 0.3133, 0.3417, 0.3417, 0.3417, 0.3417, 0.3417, 0.3417, 0.3417, 0.3417]","[0, 0.01472, 0.1903, 0.4826, 0.6164, 0.6061, 0.7183, 0.8067, 0.795, 0.7774, 0.788, 0.788, 0.788, 0.788, 0.788, 0.788, 0.788, 0.788]"
12,"['ensg00000204525', 'ensg00000113504', 'ensg00000003756', 'ensg00000071127', 'ensg00000130508', 'ensg00000162734', 'ensg00000143549', 'ensg00000114480', 'ensg00000069275', 'ensg00000117298']","[0, 0, 0, 0, 0, 0, 0, 0, 0.02971, 0.08731, 0.1541, 0.1541, 0.1541, 0.1541, 0.1541, 0.1541, 0.1541, 0.1541]","[0, 0.2003, 0.2034, 0.2083, 0.2109, 0.2148, 0.2231, 0.2516, 0.2695, 0.2933, 0.3357, 0.3357, 0.3357, 0.3357, 0.3357, 0.3357, 0.3357, 0.3357]","[0, 0.07836, 0.1726, 0.2064, 0.2073, 0.2538, 0.2585, 0.6043, 0.7057, 0.8347, 0.8148, 0.8148, 0.8148, 0.8148, 0.8148, 0.8148, 0.8148, 0.8148]"
13,"['ensg00000124831', 'ensg00000106366', 'ensg00000145730', 'ensg00000135631', 'ensg00000113504', 'ensg00000061938', 'ensg00000196352', 'ensg00000176087', 'ensg00000144357', 'ensg00000152127']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.08755, 0.1522, 0.1522, 0.1522, 0.1522, 0.1522, 0.1522, 0.1522, 0.1522]","[0, 0.1949, 0.1977, 0.2065, 0.2288, 0.2313, 0.2375, 0.2938, 0.307, 0.3265, 0.3529, 0.3529, 0.3529, 0.3529, 0.3529, 0.3529, 0.3529, 0.3529]","[0, 0.0895, 0.1248, 0.2496, 0.2462, 0.5582, 0.5467, 0.6906, 0.6936, 0.696, 0.6915, 0.6915, 0.6915, 0.6915, 0.6915, 0.6915, 0.6915, 0.6915]"
14,"['ensg00000213190', 'vardur (ms)', 'ensg00000116133', 'ensg00000112715', 'ensg00000034510', 'ensg00000117298', 'ensg00000143149', 'ensg00000114480', 'ensg00000196569', 'ensg00000122786']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.09203, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694]","[0, 0.1733, 0.2181, 0.2458, 0.2433, 0.2479, 0.2581, 0.2677, 0.2837, 0.3577, 0.4135, 0.4135, 0.4135, 0.4135, 0.4135, 0.4135, 0.4135, 0.4135]","[0, 0.1069, 0.1995, 0.2568, 0.2533, 0.5901, 0.7259, 0.8628, 0.8942, 0.9232, 0.9291, 0.9291, 0.9291, 0.9291, 0.9291, 0.9291, 0.9291, 0.9291]"
15,"['ensg00000122786', 'ensg00000159840', 'ensg00000128595', 'ensg00000131016', 'ensg00000163681', 'ensg00000143324', 'ensg00000075624', 'ensg00000112186', 'ensg00000198830', 'ensg00000106366']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1058, 0.1058, 0.1058, 0.1058, 0.1058, 0.1058, 0.1058, 0.1058]","[0, 0.1033, 0.1026, 0.105, 0.2237, 0.2336, 0.2418, 0.2529, 0.2941, 0.3242, 0.3596, 0.3596, 0.3596, 0.3596, 0.3596, 0.3596, 0.3596, 0.3596]","[0, 0.1989, 0.2038, 0.2004, 0.2026, 0.2902, 0.2941, 0.3298, 0.51, 0.5405, 0.5665, 0.5665, 0.5665, 0.5665, 0.5665, 0.5665, 0.5665, 0.5665]"
16,"['ensg00000117385', 'ensg00000142669', 'ensg00000135631', 'ensg00000114480', 'ensg00000113504', 'ensg00000115762', 'ensg00000131711', 'ensg00000196083', 'ensg00000113657', 'ensg00000130508']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1473, 0.1473, 0.1473, 0.1473, 0.1473, 0.1473, 0.1473, 0.1473]","[0, 0.1033, 0.103, 0.1091, 0.2267, 0.2779, 0.3108, 0.3632, 0.3759, 0.5027, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522]","[0, 0.1989, 0.1949, 0.1932, 0.2244, 0.2419, 0.3589, 0.3602, 0.4071, 0.4148, 0.6832, 0.6832, 0.6832, 0.6832, 0.6832, 0.6832, 0.6832, 0.6832]"
17,"['ensg00000117385', 'ensg00000138760', 'ensg00000213190', 'ensg00000124831', 'ensg00000170876', 'ensg00000094975', 'ensg00000092820', 'ensg00000151414', 'ensg00000047849', 'ensg00000198830']","[0, 0, 0, 0, 0, 0, 0, 0, 0.06286, 0.1245, 0.2146, 0.2146, 0.2146, 0.2146, 0.2146, 0.2146, 0.2146, 0.2146]","[0, 0.1397, 0.1533, 0.2045, 0.2054, 0.2164, 0.2665, 0.2752, 0.3208, 0.4068, 0.4231, 0.4231, 0.4231, 0.4231, 0.4231, 0.4231, 0.4231, 0.4231]","[0, 0.001602, 0.1056, 0.3044, 0.3498, 0.6928, 0.674, 0.6672, 0.6499, 0.7114, 0.7028, 0.7028, 0.7028, 0.7028, 0.7028, 0.7028, 0.7028, 0.7028]"
18,"['ensg00000105974', 'ensg00000113742', 'ensg00000128595', 'ensg00000145817', 'ensg00000143384', 'ensg00000105971', 'ensg00000164305', 'ensg00000131711', 'ensg00000159840', 'ensg00000072682']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05165, 0.163, 0.163, 0.163, 0.163, 0.163, 0.163, 0.163, 0.163]","[0, 0.1994, 0.2317, 0.2266, 0.225, 0.2487, 0.2594, 0.2695, 0.2844, 0.3063, 0.3573, 0.3573, 0.3573, 0.3573, 0.3573, 0.3573, 0.3573, 0.3573]","[0, 0.2051, 0.2075, 0.2068, 0.4146, 0.4228, 0.4951, 0.4957, 0.633, 0.6331, 0.6458, 0.6458, 0.6458, 0.6458, 0.6458, 0.6458, 0.6458, 0.6458]"
19,"['ensg00000159840', 'ensg00000152127', 'ensg00000196569', 'ensg00000113657', 'ensg00000112186', 'ensg00000115091', 'ensg00000117450', 'ensg00000124831', 'ensg00000162734', 'ensg00000142669']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05606, 0.05606, 0.05606, 0.05606, 0.05606, 0.05606, 0.05606, 0.05606]","[0, 0.04289, 0.04745, 0.2122, 0.22, 0.2244, 0.2361, 0.2585, 0.2982, 0.3181, 0.3458, 0.3458, 0.3458, 0.3458, 0.3458, 0.3458, 0.3458, 0.3458]","[0, 0.1459, 0.1475, 0.1771, 0.1784, 0.189, 0.2238, 0.4684, 0.4713, 0.4739, 0.4824, 0.4824, 0.4824, 0.4824, 0.4824, 0.4824, 0.4824, 0.4824]"
